Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
MediaTek,vivo,12,256,6500,AMOLED,1,15,54999
Snapdragon,vivo,8,128,7300,AMOLED,1,15,21950
MediaTek,vivo,6,128,6500,LCD,1,15,13999
Samsung,Samsung,8,128,4700,AMOLED,1,14,37948
Samsung,Samsung,6,128,5000,AMOLED,1,15,17499
MediaTek,vivo,8,128,5500,AMOLED,1,15,24999
MediaTek,vivo,8,256,5500,AMOLED,1,15,38989
Snapdragon,vivo,8,128,6000,AMOLED,1,15,34999
Samsung,Samsung,8,128,5000,AMOLED,1,14,20160
Samsung,Samsung,8,128,5000,AMOLED,1,15,38999
Snapdragon,Samsung,12,256,3900,AMOLED,1,15,109999
Snapdragon,Samsung,8,128,5000,AMOLED,1,14,15873
Snapdragon,vivo,8,128,5500,AMOLED,1,14,34999
MediaTek,vivo,8,128,5000,AMOLED,1,14,17499
Snapdragon,Samsung,12,256,4400,AMOLED,1,16,174999
Snapdragon,Samsung,8,128,3900,AMOLED,1,13,48999
MediaTek,Samsung,4,128,5000,AMOLED,1,14,11999
Snapdragon,vivo,8,128,5000,AMOLED,1,14,28900
Snapdragon,Samsung,12,256,5000,AMOLED,1,13,78830
MediaTek,Samsung,6,128,6000,AMOLED,1,11,6000
MediaTek,Samsung,6,128,5000,LCD,1,15,9240
Snapdragon,vivo,4,128,6000,LCD,1,14,12499
Samsung,Samsung,8,128,4500,AMOLED,1,13,37433
Snapdragon,vivo,16,512,6000,AMOLED,1,15,149999
MediaTek,Samsung,4,128,6000,AMOLED,1,14,11790
MediaTek,Infinix,8,256,5000,AMOLED,1,14,18999
MediaTek,Samsung,4,64,5000,LCD,1,15,10499
MediaTek,Samsung,4,64,5000,LCD,1,14,6499
Snapdragon,Samsung,12,256,5000,AMOLED,1,12,62990
MediaTek,Infinix,4,128,5000,LCD,1,14,12999
Snapdragon,Samsung,12,256,4900,AMOLED,1,15,99999
Samsung,Samsung,8,128,4500,AMOLED,1,12,34999
Snapdragon,Samsung,8,128,5000,AMOLED,1,14,20990
MediaTek,vivo,8,256,6000,LCD,1,15,12999
MediaTek,vivo,8,256,5000,AMOLED,1,14,34990
MediaTek,vivo,12,256,5000,AMOLED,1,14,51790
Snapdragon,vivo,8,128,5500,AMOLED,1,14,25999
Snapdragon,vivo,8,128,4800,AMOLED,1,13,20499
Snapdragon,Samsung,12,256,4400,AMOLED,1,14,129299
MediaTek,Infinix,8,256,5000,AMOLED,1,14,15999
Snapdragon,vivo,8,256,7300,AMOLED,1,15,23766
MediaTek,Infinix,6,128,5200,LCD,1,15,10499
MediaTek,vivo,8,256,5500,AMOLED,1,15,26999
Samsung,Samsung,4,64,5000,LCD,1,13,11999
Samsung,Samsung,8,128,5000,AMOLED,1,13,25999
Snapdragon,vivo,8,128,4600,AMOLED,1,13,32999
MediaTek,Samsung,8,128,5000,AMOLED,1,14,17990
MediaTek,Infinix,12,256,5000,AMOLED,1,14,25999
Snapdragon,Samsung,8,128,3700,AMOLED,1,12,72999
MediaTek,Samsung,4,64,5000,LCD,1,14,6499
Snapdragon,vivo,8,128,5000,AMOLED,1,13,25899
Snapdragon,Samsung,8,128,5000,AMOLED,1,12,41999
MediaTek,vivo,16,512,5400,AMOLED,1,14,59999
Samsung,Samsung,12,256,4300,AMOLED,1,16,109999
Samsung,Samsung,8,256,4500,AMOLED,1,12,22464
Samsung,Samsung,8,256,6000,AMOLED,1,13,31999
MediaTek,vivo,8,128,4600,AMOLED,1,13,32899
Samsung,Samsung,6,128,6000,AMOLED,1,13,15999
MediaTek,vivo,8,256,6500,LCD,1,15,17793
